mode,multi_hop,n,ragas_faithfulness_mean,ragas_answer_relevancy_mean,ragas_context_precision_mean,ragas_context_recall_mean,reaq_hop_accuracy_corrected_mean
graphrag,True,78,0.19502098571428567,0.4732658461538462,0.3150259487179487,0.3315934487179487,0.6039054811914851
graphrag,False,19,0.28065172222222223,0.6702152631578948,0.32454752631578954,0.5783207894736841,0.7891173906354173
vector,True,78,0.17552693181818182,0.6808184166666664,0.33911208450704217,0.362070125,
vector,False,19,0.095,0.6996726842105263,0.25351,0.4605263157894737,
llm,True,78,,0.6584084358974359,,,
llm,False,19,,0.6707534736842105,,,
